"@Caption","情報通信産業の国内生産額（名目及び実質）の推移","","","","","","","","","",""
"@Creator","令和3年版情報通信白書","","","","","","","","","",""
"@Date","2021-07-30","","","","","","","","","",""
"@Language","ja","","","","","","","","","",""
"@@Title","ja","","","","","","","","","",""
"","通信業","放送業","情報サービス業","インターネット附随サービス業","映像・音声・文字情報制作業","情報通信関連製造業","情報通信関連サービス業","情報通信関連建設業","研究","情報通信産業合計",""
"@@Unit","ja","","","","","","","","","",""
"","兆円","兆円","兆円","兆円","兆円","兆円","兆円","兆円","兆円","兆円",""
"@@Baseval","","","","","","","","","","",""
"","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000",""
"@@Datatype","","","","","","","","","","",""
"xsd:string","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double",""
"@Note","","","","","","","","","","",""
"","【名目国内生産額】","","","","","","","","","",""
"2000","16.7","3.3","13.6","0.0","7.7","40.2","21.8","1.4","15.7","120.4",""
"2001","16.9","3.4","15.3","0.0","7.7","34.4","21.7","1.4","15.9","116.7",""
"2002","16.9","3.4","16.0","0.0","7.6","31.0","20.7","0.9","16.0","112.4",""
"2003","17.2","3.5","16.3","0.0","7.5","32.1","20.1","0.6","15.9","113.0",""
"2004","16.3","3.6","16.9","0.0","7.7","32.2","20.3","0.4","16.3","113.7",""
"2005","14.7","3.7","17.4","1.2","7.8","30.6","20.4","0.3","16.6","112.6",""
"2006","15.4","3.8","18.1","1.2","7.6","31.9","19.9","0.2","17.1","115.1",""
"2007","16.2","3.9","18.5","1.3","7.4","32.2","19.6","0.4","17.8","117.3",""
"2008","16.0","3.9","18.9","1.5","7.2","30.6","18.0","0.4","17.6","113.9",""
"2009","16.1","3.8","18.1","1.5","6.8","23.0","15.4","0.3","16.1","101.1",""
"2010","15.7","3.8","17.4","1.6","6.5","25.9","15.0","0.2","15.3","101.6",""
"2011","15.7","3.6","16.8","1.9","6.2","22.2","14.1","0.2","15.4","96.2",""
"2012","15.0","3.7","17.0","2.0","6.5","18.2","14.5","0.2","15.6","92.8",""
"2013","15.3","4.3","17.5","2.4","6.7","17.7","14.5","0.3","16.3","94.9",""
"2014","15.5","4.6","18.1","2.8","6.9","19.2","15.2","0.2","18.0","100.6",""
"2015","16.4","4.7","18.5","3.6","6.8","20.4","15.5","0.2","18.7","104.8",""
"2016","17.5","4.8","18.8","3.8","6.9","19.0","15.5","0.2","17.8","104.3",""
"2017","17.8","4.8","19.4","4.0","6.9","20.5","15.2","0.2","18.1","106.8",""
"2018","18.1","4.8","19.8","4.1","6.8","21.3","15.2","0.2","19.1","109.3",""
"2019","17.8","4.8","20.6","4.1","6.6","19.0","16.0","0.2","19.2","108.4",""
