"@Caption","主な産業の国内生産額（名目及び実質）（内訳）（2019年）","","","","","","","","","",""
"@Creator","令和3年版情報通信白書","","","","","","","","","",""
"@Date","2021-07-30","","","","","","","","","",""
"@Language","ja","","","","","","","","","",""
"@@Title","ja","","","","","","","","","",""
"","情報通信産業","商業","不動産","医療・福祉","建設","対事業所サービス","輸送機械","対個人サービス","その他産業（上記以外）","","全産業"
"@@Unit","ja","","","","","","","","","",""
"","兆円","兆円","兆円","兆円","兆円","兆円","兆円","兆円","兆円","","兆円"
"@@Baseval","","","","","","","","","","",""
"","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","1000000000000","","1000000000000"
"@@Datatype","","","","","","","","","","",""
"xsd:string","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","xsd:double","","xsd:double"
"@Note","","","","","","","","","","",""
"","【名目国内生産額】","","","","","","","","","",""
"2000年","120.4","95.1","68.1","44.5","76.5","46.9","41.8","60.1","402.3","","955.5"
"2001年","116.7","94.5","68.8","46.9","73.5","47.4","42.6","57.5","394.1","","941.9"
"2002年","112.4","94.5","69.1","47.1","69.5","44.1","44.8","57.2","384.7","","923.5"
"2003年","113.0","94.4","69.7","49.9","67.0","46.1","47.0","55.7","387.4","","930.1"
"2004年","113.7","98.1","69.0","50.0","63.1","45.0","48.0","55.9","402.1","","944.8"
"2005年","112.6","104.1","68.5","51.1","62.9","49.9","51.2","56.1","416.1","","972.4"
"2006年","115.1","100.8","70.2","51.5","60.6","54.5","56.0","56.9","427.2","","992.9"
"2007年","117.3","97.1","71.6","52.4","58.4","57.8","59.5","56.5","439.3","","1,010.0"
"2008年","113.9","98.4","73.1","53.4","56.8","58.5","59.3","55.5","449.4","","1,018.3"
"2009年","101.1","87.5","74.0","55.6","55.7","56.0","41.1","54.0","386.9","","911.7"
"2010年","101.6","89.3","72.8","57.8","52.8","54.7","50.9","53.1","398.9","","931.9"
"2011年","96.2","94.2","72.2","59.3","52.3","58.3","45.6","52.0","401.6","","931.7"
"2012年","92.8","94.9","73.9","63.1","53.8","57.6","49.9","52.6","403.9","","942.5"
"2013年","94.9","93.1","77.6","64.7","60.3","60.3","51.2","52.8","411.2","","966.2"
"2014年","100.6","93.6","78.9","64.9","60.5","62.5","53.3","53.3","427.4","","995.0"
"2015年","104.8","96.1","80.7","67.6","60.7","64.7","55.4","54.3","423.6","","1,007.9"
"2016年","104.3","95.6","80.6","69.2","61.8","67.6","54.6","54.1","413.6","","1,001.4"
"2017年","106.8","94.2","80.6","69.3","64.4","69.0","57.7","54.1","429.2","","1,025.5"
"2018年","109.3","95.3","80.2","70.1","63.0","73.1","58.9","53.8","442.1","","1,045.9"
"2019年","108.4","92.3","80.5","70.7","64.4","74.4","59.5","54.2","436.8","","1041.2"
