,total_bill,sex,smoker,day,time,size,tip
0,16.99,0,0,2,0,2,1.01
1,10.34,1,0,2,0,3,1.66
2,21.01,1,0,2,0,3,3.5
3,23.68,1,0,2,0,2,3.31
4,24.59,0,0,2,0,4,3.61
5,25.29,1,0,2,0,4,4.71
6,8.77,1,0,2,0,2,2.0
7,26.88,1,0,2,0,4,3.12
8,15.04,1,0,2,0,2,1.96
10,10.27,1,0,2,0,2,1.71
11,35.26,0,0,2,0,4,5.0
12,15.42,1,0,2,0,2,1.57
13,18.43,1,0,2,0,4,3.0
14,14.83,0,0,2,0,2,3.02
15,21.58,1,0,2,0,2,3.92
16,10.33,0,0,2,0,3,1.67
17,16.29,1,0,2,0,3,3.71
18,16.97,0,0,2,0,3,3.5
19,20.65,1,0,1,0,3,3.35
20,17.92,1,0,1,0,2,4.08
21,20.29,0,0,1,0,2,2.75
22,15.77,0,0,1,0,2,2.23
23,39.42,1,0,1,0,4,7.58
24,19.82,1,0,1,0,2,3.18
25,17.81,1,0,1,0,4,2.34
26,13.37,1,0,1,0,2,2.0
27,12.69,1,0,1,0,2,2.0
28,21.7,1,0,1,0,2,4.3
29,19.65,0,0,1,0,2,3.0
30,9.55,1,0,1,0,2,1.45
31,18.35,1,0,1,0,4,2.5
32,15.06,0,0,1,0,2,3.0
33,20.69,0,0,1,0,4,2.45
34,17.78,1,0,1,0,2,3.27
35,24.06,1,0,1,0,3,3.6
36,16.31,1,0,1,0,3,2.0
37,16.93,0,0,1,0,3,3.07
38,18.69,1,0,1,0,3,2.31
39,31.27,1,0,1,0,3,5.0
41,17.46,1,0,2,0,2,2.54
42,13.94,1,0,2,0,2,3.06
43,9.68,1,0,2,0,2,1.32
44,30.4,1,0,2,0,4,5.6
45,18.29,1,0,2,0,2,3.0
46,22.23,1,0,2,0,2,5.0
47,32.4,1,0,2,0,4,6.0
48,28.55,1,0,2,0,3,2.05
49,18.04,1,0,2,0,2,3.0
50,12.54,1,0,2,0,2,2.5
51,10.29,0,0,2,0,2,2.6
52,34.81,0,0,2,0,4,5.2
53,9.94,1,0,2,0,2,1.56
54,25.56,1,0,2,0,4,4.34
55,19.49,1,0,2,0,2,3.51
56,38.01,1,1,1,0,4,3.0
57,26.41,0,0,1,0,2,1.5
58,11.24,1,1,1,0,2,1.76
59,48.27,1,0,1,0,4,6.73
60,20.29,1,1,1,0,2,3.21
61,13.81,1,1,1,0,2,2.0
62,11.02,1,1,1,0,2,1.98
63,18.29,1,1,1,0,4,3.76
64,17.59,1,0,1,0,3,2.64
65,20.08,1,0,1,0,3,3.15
66,16.45,0,0,1,0,2,2.47
67,3.07,0,1,1,0,1,1.0
68,20.23,1,0,1,0,2,2.01
69,15.01,1,1,1,0,2,2.09
70,12.02,1,0,1,0,2,1.97
71,17.07,0,0,1,0,3,3.0
72,26.86,0,1,1,0,2,3.14
73,25.28,0,1,1,0,2,5.0
74,14.73,0,0,1,0,2,2.2
75,10.51,1,0,1,0,2,1.25
76,17.92,1,1,1,0,2,3.08
77,27.2,1,0,3,1,4,4.0
78,22.76,1,0,3,1,2,3.0
79,17.29,1,0,3,1,2,2.71
80,19.44,1,1,3,1,2,3.0
81,16.66,1,0,3,1,2,3.4
82,10.07,0,0,3,1,1,1.83
83,32.68,1,1,3,1,2,5.0
84,15.98,1,0,3,1,2,2.03
85,34.83,0,0,3,1,4,5.17
86,13.03,1,0,3,1,2,2.0
87,18.28,1,0,3,1,2,4.0
88,24.71,1,0,3,1,2,5.85
89,21.16,1,0,3,1,2,3.0
90,28.97,1,1,0,0,2,3.0
91,22.49,1,0,0,0,2,3.5
92,5.75,0,1,0,0,2,1.0
93,16.32,0,1,0,0,2,4.3
94,22.75,0,0,0,0,2,3.25
95,40.17,1,1,0,0,4,4.73
96,27.28,1,1,0,0,2,4.0
97,12.03,1,1,0,0,2,1.5
98,21.01,1,1,0,0,2,3.0
99,12.46,1,0,0,0,2,1.5
100,11.35,0,1,0,0,2,2.5
101,15.38,0,1,0,0,2,3.0
102,44.3,0,1,1,0,3,2.5
103,22.42,0,1,1,0,2,3.48
104,20.92,0,0,1,0,2,4.08
105,15.36,1,1,1,0,2,1.64
107,25.21,1,1,1,0,2,4.29
108,18.24,1,0,1,0,2,3.76
109,14.31,0,1,1,0,2,4.0
110,14.0,1,0,1,0,2,3.0
111,7.25,0,0,1,0,1,1.0
112,38.07,1,0,2,0,3,4.0
113,23.95,1,0,2,0,2,2.55
114,25.71,0,0,2,0,3,4.0
115,17.31,0,0,2,0,2,3.5
116,29.93,1,0,2,0,4,5.07
117,10.65,0,0,3,1,2,1.5
118,12.43,0,0,3,1,2,1.8
119,24.08,0,0,3,1,4,2.92
120,11.69,1,0,3,1,2,2.31
121,13.42,0,0,3,1,2,1.68
122,14.26,1,0,3,1,2,2.5
123,15.95,1,0,3,1,2,2.0
124,12.48,0,0,3,1,2,2.52
125,29.8,0,0,3,1,6,4.2
126,8.52,1,0,3,1,2,1.48
127,14.52,0,0,3,1,2,2.0
128,11.38,0,0,3,1,2,2.0
129,22.82,1,0,3,1,3,2.18
130,19.08,1,0,3,1,2,1.5
131,20.27,0,0,3,1,2,2.83
132,11.17,0,0,3,1,2,1.5
133,12.26,0,0,3,1,2,2.0
134,18.26,0,0,3,1,2,3.25
135,8.51,0,0,3,1,2,1.25
136,10.33,0,0,3,1,2,2.0
137,14.15,0,0,3,1,2,2.0
138,16.0,1,1,3,1,2,2.0
139,13.16,0,0,3,1,2,2.75
141,34.3,1,0,3,1,6,6.7
142,41.19,1,0,3,1,5,5.0
143,27.05,0,0,3,1,6,5.0
144,16.43,0,0,3,1,2,2.3
145,8.35,0,0,3,1,2,1.5
146,18.64,0,0,3,1,3,1.36
147,11.87,0,0,3,1,2,1.63
148,9.78,1,0,3,1,2,1.73
149,7.51,1,0,3,1,2,2.0
150,14.07,1,0,2,0,2,2.5
151,13.13,1,0,2,0,2,2.0
152,17.26,1,0,2,0,3,2.74
154,19.77,1,0,2,0,4,2.0
155,29.85,0,0,2,0,5,5.14
156,48.17,1,0,2,0,6,5.0
157,25.0,0,0,2,0,4,3.75
158,13.39,0,0,2,0,2,2.61
159,16.49,1,0,2,0,4,2.0
160,21.5,1,0,2,0,4,3.5
161,12.66,1,0,2,0,2,2.5
162,16.21,0,0,2,0,3,2.0
163,13.81,1,0,2,0,2,2.0
164,17.51,0,1,2,0,2,3.0
165,24.52,1,0,2,0,3,3.48
166,20.76,1,0,2,0,2,2.24
167,31.71,1,0,2,0,4,4.5
168,10.59,0,1,1,0,2,1.61
169,10.63,0,1,1,0,2,2.0
170,50.81,1,1,1,0,3,10.0
172,7.25,1,1,2,0,2,5.15
173,31.85,1,1,2,0,2,3.18
175,32.9,1,1,2,0,2,3.11
176,17.89,1,1,2,0,2,2.0
177,14.48,1,1,2,0,2,2.0
178,9.6,0,1,2,0,2,4.0
179,34.63,1,1,2,0,2,3.55
180,34.65,1,1,2,0,4,3.68
181,23.33,1,1,2,0,2,5.65
182,45.35,1,1,2,0,3,3.5
183,23.17,1,1,2,0,4,6.5
184,40.55,1,1,2,0,2,3.0
185,20.69,1,0,2,0,5,5.0
187,30.46,1,1,2,0,5,2.0
188,18.15,0,1,2,0,3,3.5
189,23.1,1,1,2,0,3,4.0
190,15.69,1,1,2,0,2,1.5
191,19.81,0,1,3,1,2,4.19
